,population,gdp_per_capita,competition,possible_places
0,1713506,13473,0,125
1,1713647,13556,0,125
2,1713788,13624,0,128
3,1713882,13490,0,125
4,1713715,13655,0,126
5,1713727,13835,0,127
6,1713556,13764,0,126
7,1713389,13847,0,127
8,1713255,13815,0,127
9,1713406,13902,0,127
10,1713555,13794,0,127
11,1713635,13877,0,127
12,1713719,13688,0,126
13,1713587,13537,0,125
14,1713603,13622,0,126
15,1713636,13759,0,126
16,1713681,13642,0,126
17,1713558,13786,0,126
18,1713504,13614,0,126
19,1713613,13770,0,126
20,1713763,14111,0,128
21,1713919,14250,0,129
22,1713955,14309,0,132
23,1714048,14453,0,130
24,1713885,14554,0,131
25,1714052,14665,0,131
26,1713936,14762,0,132
27,1713820,14681,0,131
28,1713894,14672,0,131
29,1713909,14456,0,130
30,1713756,14220,0,129
31,1713754,14370,0,130
32,1713639,14221,0,129
33,1713634,14203,0,129
34,1713715,14234,0,128
35,1713585,14060,0,128
36,1713733,14164,0,128
37,1713741,13924,0,127
38,1713705,13832,0,127
39,1713643,13902,0,127
40,1713721,13978,0,129
41,1713659,13926,0,127
42,1713674,13886,0,127
43,1713831,13825,0,126
44,1713700,13714,0,125
45,1713544,13686,0,126
46,1713437,13663,0,126
47,1713431,13434,0,125
48,1713374,13402,0,124
49,1713230,13626,0,126
50,1713219,13495,0,125
51,1713185,13555,0,125
52,1713158,13614,0,126
53,1713129,13760,0,126
54,1713012,14008,0,128
55,1713047,13911,0,127
56,1712913,14040,0,127
57,1712873,14311,0,129
58,1713006,14376,0,130
59,1713161,14663,0,131
