,population,gdp_per_capita,competition,possible_places
0,15332,8622,0,6
1,15332,8711,0,7
2,15331,8806,0,6
3,15329,8894,0,6
4,15327,8960,0,6
5,15327,8884,0,6
6,15325,8855,0,6
7,15323,8882,0,6
8,15323,8778,0,6
9,15321,8838,0,6
10,15321,8611,0,6
11,15319,8790,0,6
12,15317,8889,0,7
13,15316,8987,0,6
14,15315,8896,0,6
15,15314,8847,0,6
16,15312,9006,0,6
17,15310,9026,0,6
18,15308,8974,0,6
19,15308,9004,0,6
20,15308,8886,0,6
21,15308,8771,0,6
22,15306,8720,0,6
23,15304,8803,0,6
24,15303,8943,0,6
25,15301,9077,0,6
26,15299,9104,0,6
27,15299,9126,0,6
28,15299,9242,0,6
29,15298,9353,0,6
30,15298,9263,0,6
31,15297,9318,0,6
32,15295,9310,0,6
33,15293,9241,0,5
34,15291,9283,0,5
35,15291,9290,0,7
36,15291,9221,0,6
37,15289,9421,0,7
38,15289,9517,0,6
39,15288,9470,0,6
40,15287,9243,0,7
41,15287,9065,0,6
42,15287,9106,0,6
43,15285,9091,0,6
44,15283,9095,0,5
45,15281,9030,0,6
46,15279,9284,0,5
47,15278,9151,0,6
48,15276,9112,0,6
49,15274,8860,0,6
50,15274,8905,0,6
51,15273,8972,0,6
52,15272,8969,0,5
53,15272,8905,0,6
54,15272,9037,0,6
55,15270,9033,0,6
56,15270,9103,0,6
57,15269,9059,0,6
58,15267,8976,0,6
59,15266,8961,0,6
