,population,gdp_per_capita,competition,possible_places
0,84708,11041,0,19
1,84708,11059,0,19
2,84712,11034,0,19
3,84706,11054,0,20
4,84706,10922,0,19
5,84711,10840,0,19
6,84716,10645,0,19
7,84720,10631,0,19
8,84726,10852,0,19
9,84717,10707,0,19
10,84714,10719,0,18
11,84718,10870,0,19
12,84725,10766,0,19
13,84732,10767,0,19
14,84736,10697,0,19
15,84738,10576,0,19
16,84730,10447,0,18
17,84729,10483,0,17
18,84724,10487,0,18
19,84729,10461,0,18
20,84724,10669,0,20
21,84717,10681,0,19
22,84721,10719,0,19
23,84719,10846,0,19
24,84724,10875,0,19
25,84730,10858,0,19
26,84726,10822,0,19
27,84717,10845,0,19
28,84714,10852,0,19
29,84720,10776,0,19
30,84722,10665,0,19
31,84723,10744,0,19
32,84714,10730,0,20
33,84721,10722,0,19
34,84718,10763,0,19
35,84714,10755,0,19
36,84707,10686,0,19
37,84713,10775,0,19
38,84709,10839,0,19
39,84708,10756,0,18
40,84700,10811,0,19
41,84693,10896,0,19
42,84688,10859,0,18
43,84685,10790,0,19
44,84681,10732,0,20
45,84673,10855,0,19
46,84678,10740,0,19
47,84681,10672,0,18
48,84672,10653,0,20
49,84678,10697,0,20
50,84675,10614,0,18
51,84676,10427,0,18
52,84674,10441,0,18
53,84670,10406,0,18
54,84672,10570,0,19
55,84665,10609,0,18
56,84660,10664,0,19
57,84663,10549,0,18
58,84667,10450,0,18
59,84674,10463,0,18
