,population,gdp_per_capita,competition,possible_places
0,13741,8898,0,6
1,13739,8894,0,6
2,13737,8922,0,6
3,13735,8881,0,6
4,13734,8791,0,6
5,13734,8835,0,6
6,13733,8759,0,6
7,13731,8775,0,5
8,13729,8783,0,6
9,13729,8712,0,6
10,13727,8818,0,6
11,13725,8896,0,6
12,13724,8894,0,6
13,13722,8799,0,6
14,13721,8713,0,6
15,13721,8779,0,6
16,13719,9127,0,7
17,13719,9152,0,5
18,13719,9217,0,6
19,13718,9110,0,6
20,13718,9023,0,7
21,13716,9162,0,6
22,13714,9006,0,6
23,13713,9032,0,6
24,13713,9168,0,6
25,13712,9332,0,6
26,13712,9242,0,6
27,13710,9207,0,6
28,13709,9223,0,6
29,13708,9156,0,6
30,13707,9120,0,6
31,13705,9064,0,6
32,13704,9058,0,6
33,13703,9121,0,6
34,13701,9173,0,6
35,13701,9109,0,6
36,13700,9178,0,6
37,13700,9212,0,6
38,13698,9110,0,6
39,13698,9137,0,6
40,13697,9220,0,6
41,13697,9372,0,6
42,13696,9304,0,6
43,13696,9355,0,6
44,13694,9277,0,6
45,13694,9365,0,6
46,13692,9278,0,6
47,13691,9338,0,6
48,13689,9208,0,6
49,13688,9298,0,5
50,13686,9283,0,7
51,13685,9413,0,6
52,13685,9273,0,7
53,13684,9206,0,6
54,13684,9241,0,6
55,13682,9346,0,6
56,13681,9472,0,6
57,13679,9587,0,5
58,13678,9510,0,6
59,13678,9565,0,6
