,population,gdp_per_capita,competition,possible_places
0,15882,10119,0,7
1,15882,10174,0,6
2,15881,10284,0,7
3,15880,10304,0,6
4,15879,10217,0,6
5,15878,10125,0,7
6,15878,10004,0,7
7,15878,10022,0,7
8,15878,10027,0,7
9,15877,10017,0,7
10,15876,9957,0,7
11,15875,9770,0,7
12,15873,9697,0,7
13,15871,9689,0,8
14,15871,9803,0,7
15,15871,9888,0,7
16,15869,9874,0,7
17,15867,10098,0,7
18,15866,10255,0,7
19,15865,10157,0,7
20,15863,10095,0,7
21,15863,9976,0,7
22,15861,9994,0,7
23,15859,10017,0,7
24,15858,10103,0,7
25,15858,10194,0,7
26,15856,10101,0,7
27,15856,10265,0,7
28,15854,10368,0,7
29,15853,10277,0,7
30,15851,10416,0,7
31,15850,10487,0,7
32,15849,10485,0,7
33,15848,10438,0,7
34,15847,10275,0,7
35,15847,10291,0,7
36,15845,10406,0,7
37,15843,10522,0,7
38,15841,10681,0,6
39,15840,10627,0,7
40,15840,10486,0,7
41,15838,10601,0,7
42,15838,10535,0,7
43,15837,10583,0,7
44,15835,10591,0,7
45,15833,10677,0,7
46,15833,10683,0,7
47,15832,10694,0,6
48,15830,10645,0,6
49,15829,10704,0,7
50,15827,10602,0,7
51,15827,10541,0,7
52,15825,10519,0,7
53,15823,10593,0,7
54,15823,10545,0,8
55,15822,10475,0,7
56,15821,10523,0,7
57,15821,10541,0,7
58,15819,10523,0,7
59,15817,10630,0,7
