,population,gdp_per_capita,competition,possible_places
0,11852,2257,0,2
1,11850,2265,0,1
2,11848,2261,0,3
3,11847,2274,0,2
4,11847,2266,0,2
5,11847,2266,0,2
6,11847,2259,0,1
7,11846,2290,0,2
8,11846,2267,0,2
9,11845,2269,0,2
10,11844,2303,0,2
11,11844,2309,0,2
12,11842,2345,0,2
13,11841,2321,0,1
14,11840,2263,0,2
15,11839,2258,0,2
16,11839,2258,0,2
17,11839,2257,0,2
18,11837,2242,0,2
19,11836,2254,0,2
20,11834,2257,0,2
21,11833,2213,0,1
22,11833,2217,0,2
23,11831,2220,0,2
24,11831,2211,0,2
25,11831,2213,0,2
26,11831,2210,0,2
27,11831,2225,0,2
28,11829,2205,0,2
29,11828,2222,0,2
30,11828,2192,0,2
31,11828,2209,0,2
32,11828,2255,0,2
33,11828,2258,0,2
34,11827,2244,0,2
35,11827,2224,0,2
36,11826,2230,0,3
37,11824,2224,0,2
38,11822,2253,0,3
39,11822,2245,0,2
40,11820,2223,0,2
41,11819,2246,0,2
42,11818,2236,0,1
43,11816,2253,0,2
44,11814,2242,0,2
45,11814,2255,0,2
46,11812,2280,0,2
47,11811,2276,0,2
48,11810,2264,0,3
49,11808,2270,0,2
50,11808,2251,0,2
51,11807,2242,0,2
52,11806,2250,0,1
53,11805,2244,0,1
54,11805,2234,0,2
55,11803,2246,0,2
56,11802,2219,0,1
57,11801,2219,0,2
58,11800,2258,0,2
59,11800,2249,0,2
