,population,gdp_per_capita,competition,possible_places
0,29969,9020,0,8
1,29968,9117,0,9
2,29965,9148,0,10
3,29964,9082,0,9
4,29962,8934,0,9
5,29959,8981,0,9
6,29958,9002,0,9
7,29958,9009,0,9
8,29957,8925,0,9
9,29957,8806,0,9
10,29954,8827,0,9
11,29952,8757,0,9
12,29953,8694,0,9
13,29954,8827,0,9
14,29951,8865,0,9
15,29949,8943,0,8
16,29948,8967,0,9
17,29949,9013,0,9
18,29947,9031,0,9
19,29944,8938,0,9
20,29942,9086,0,9
21,29940,9224,0,9
22,29938,9201,0,9
23,29936,9156,0,9
24,29937,9220,0,9
25,29935,9127,0,9
26,29934,9238,0,9
27,29935,9264,0,9
28,29934,9161,0,9
29,29934,9267,0,9
30,29932,9250,0,9
31,29933,9416,0,9
32,29930,9388,0,9
33,29928,9455,0,9
34,29926,9680,0,10
35,29927,9624,0,9
36,29925,9610,0,9
37,29925,9681,0,9
38,29924,9633,0,9
39,29921,9643,0,9
40,29920,9563,0,9
41,29919,9478,0,9
42,29916,9452,0,9
43,29914,9327,0,9
44,29913,9302,0,9
45,29911,9297,0,9
46,29909,9236,0,9
47,29907,9233,0,9
48,29906,9128,0,9
49,29903,9220,0,9
50,29900,9104,0,9
51,29898,9205,0,9
52,29896,9288,0,9
53,29895,9410,0,9
54,29896,9471,0,9
55,29894,9384,0,9
56,29893,9400,0,9
57,29892,9336,0,9
58,29892,9361,0,9
59,29890,9265,0,9
