,population,gdp_per_capita,competition,possible_places
0,789377,18649,0,96
1,789449,19025,0,97
2,789504,18956,0,97
3,789440,18831,0,97
4,789417,18886,0,96
5,789469,18956,0,98
6,789486,19069,0,97
7,789484,18890,0,96
8,789422,18958,0,97
9,789496,18621,0,96
10,789424,18828,0,96
11,789440,18767,0,96
12,789511,18337,0,95
13,789530,17908,0,95
14,789501,17894,0,94
15,789491,17990,0,94
16,789498,18225,0,93
17,789548,17931,0,95
18,789564,18145,0,94
19,789541,17989,0,94
20,789502,18129,0,94
21,789450,18021,0,95
22,789417,17915,0,94
23,789360,17786,0,92
24,789435,17725,0,93
25,789381,17781,0,93
26,789351,17745,0,93
27,789407,17643,0,93
28,789477,17624,0,92
29,789414,17826,0,93
30,789367,17816,0,93
31,789294,17924,0,94
32,789351,18090,0,94
33,789422,18209,0,94
34,789370,18188,0,94
35,789364,18327,0,95
36,789307,18679,0,96
37,789309,18044,0,94
38,789376,18092,0,94
39,789327,17918,0,94
40,789359,17567,0,91
41,789413,17705,0,93
42,789351,17967,0,94
43,789322,17742,0,93
44,789286,18002,0,94
45,789302,18090,0,94
46,789293,18361,0,95
47,789303,18472,0,95
48,789337,18344,0,96
49,789410,18342,0,95
50,789484,18062,0,94
51,789527,18214,0,94
52,789510,18151,0,94
53,789506,18266,0,95
54,789489,18473,0,95
55,789450,18299,0,95
56,789465,18267,0,95
57,789417,18196,0,94
58,789441,18276,0,95
59,789403,18408,0,95
