,population,gdp_per_capita,competition,possible_places
0,11508,8142,0,5
1,11506,8175,0,5
2,11505,8293,0,5
3,11505,8263,0,5
4,11503,8213,0,5
5,11502,8252,0,4
6,11500,8219,0,6
7,11500,8156,0,5
8,11498,8240,0,5
9,11496,8345,0,5
10,11495,8331,0,5
11,11493,8443,0,5
12,11491,8442,0,5
13,11491,8492,0,5
14,11491,8532,0,5
15,11490,8337,0,5
16,11489,8300,0,5
17,11487,8263,0,6
18,11486,8371,0,4
19,11484,8385,0,6
20,11483,8408,0,4
21,11482,8475,0,5
22,11481,8479,0,6
23,11480,8550,0,5
24,11478,8468,0,5
25,11477,8426,0,5
26,11476,8237,0,5
27,11476,8380,0,5
28,11476,8255,0,4
29,11474,8376,0,4
30,11473,8426,0,6
31,11471,8433,0,5
32,11471,8494,0,5
33,11469,8532,0,5
34,11469,8623,0,5
35,11468,8757,0,4
36,11466,8733,0,5
37,11466,8673,0,5
38,11465,8532,0,6
39,11464,8579,0,6
40,11464,8611,0,5
41,11463,8699,0,5
42,11461,8797,0,5
43,11460,8926,0,5
44,11460,8827,0,5
45,11458,8821,0,5
46,11456,9082,0,5
47,11454,9237,0,5
48,11452,9272,0,4
49,11451,9332,0,5
50,11449,9483,0,5
51,11447,9426,0,5
52,11447,9426,0,5
53,11445,9520,0,5
54,11445,9433,0,5
55,11445,9527,0,5
56,11444,9391,0,6
57,11443,9342,0,6
58,11441,9431,0,5
59,11439,9398,0,5
