,population,gdp_per_capita,competition,possible_places
0,21791,7279,0,7
1,21789,7387,0,8
2,21790,7427,0,8
3,21788,7404,0,7
4,21785,7481,0,7
5,21785,7606,0,7
6,21785,7542,0,8
7,21782,7636,0,7
8,21783,7592,0,8
9,21781,7637,0,7
10,21780,7664,0,7
11,21778,7766,0,7
12,21777,7658,0,7
13,21777,7637,0,6
14,21777,7613,0,7
15,21774,7639,0,8
16,21774,7574,0,6
17,21773,7641,0,7
18,21770,7597,0,7
19,21767,7619,0,7
20,21765,7683,0,7
21,21763,7669,0,7
22,21761,7606,0,7
23,21760,7675,0,7
24,21761,7612,0,7
25,21760,7553,0,7
26,21757,7575,0,7
27,21758,7688,0,7
28,21755,7789,0,8
29,21754,7878,0,7
30,21755,7954,0,6
31,21753,7937,0,7
32,21751,7860,0,7
33,21750,7895,0,7
34,21747,7938,0,7
35,21744,7987,0,7
36,21743,8155,0,7
37,21742,8076,0,7
38,21742,7966,0,7
39,21741,7896,0,8
40,21739,7842,0,7
41,21738,7907,0,7
42,21739,7925,0,7
43,21737,7832,0,6
44,21738,7945,0,7
45,21738,7971,0,7
46,21735,7904,0,7
47,21735,7798,0,7
48,21735,7799,0,7
49,21734,7734,0,7
50,21733,7660,0,7
51,21732,7608,0,7
52,21730,7691,0,7
53,21730,7735,0,7
54,21730,7780,0,8
55,21731,7801,0,7
56,21728,7809,0,7
57,21725,7821,0,7
58,21724,7931,0,7
59,21725,7965,0,7
