,population,gdp_per_capita,competition,possible_places
0,179715,14210,0,34
1,179724,14031,0,34
2,179713,13817,0,34
3,179707,13983,0,34
4,179713,14197,0,34
5,179709,14199,0,35
6,179725,14209,0,34
7,179734,13946,0,34
8,179716,14059,0,34
9,179732,13987,0,34
10,179742,14084,0,34
11,179743,13915,0,34
12,179757,13852,0,34
13,179755,13727,0,33
14,179762,13810,0,33
15,179758,13918,0,33
16,179766,13862,0,35
17,179759,13814,0,34
18,179769,13851,0,34
19,179785,13785,0,34
20,179786,13811,0,34
21,179777,13479,0,33
22,179762,13548,0,33
23,179744,13428,0,33
24,179729,13273,0,33
25,179721,13043,0,32
26,179732,12953,0,32
27,179745,13057,0,33
28,179750,12884,0,32
29,179747,12778,0,32
30,179761,12907,0,32
31,179766,12836,0,32
32,179776,12736,0,32
33,179771,12678,0,32
34,179756,12908,0,32
35,179771,12899,0,32
36,179761,13090,0,33
37,179753,12929,0,32
38,179742,13106,0,33
39,179753,13329,0,33
40,179769,12999,0,32
41,179766,12949,0,32
42,179764,12590,0,32
43,179770,12531,0,31
44,179771,12587,0,32
45,179756,12519,0,33
46,179771,12381,0,32
47,179782,12269,0,31
48,179778,12134,0,31
49,179786,12101,0,31
50,179770,12013,0,31
51,179756,12212,0,31
52,179754,12436,0,32
53,179736,12243,0,31
54,179722,12128,0,31
55,179714,12207,0,31
56,179718,12127,0,31
57,179714,12296,0,31
58,179724,12164,0,31
59,179708,12069,0,31
