,population,gdp_per_capita,competition,possible_places
0,38230,9711,0,11
1,38226,9725,0,11
2,38228,9878,0,11
3,38227,9932,0,11
4,38229,9968,0,10
5,38229,10053,0,11
6,38227,9973,0,11
7,38224,9954,0,11
8,38222,9921,0,11
9,38218,10021,0,11
10,38218,10061,0,11
11,38218,10023,0,11
12,38214,10143,0,12
13,38213,10121,0,11
14,38212,10073,0,11
15,38212,10192,0,11
16,38209,10040,0,11
17,38210,10152,0,11
18,38212,10174,0,11
19,38208,10143,0,11
20,38207,10291,0,11
21,38208,10324,0,11
22,38207,10255,0,12
23,38209,10054,0,11
24,38205,10179,0,11
25,38203,9925,0,11
26,38205,9820,0,11
27,38205,9669,0,11
28,38205,9721,0,11
29,38205,9724,0,11
30,38201,9562,0,11
31,38201,9681,0,11
32,38198,9884,0,11
33,38199,9939,0,11
34,38196,9995,0,11
35,38192,10081,0,12
36,38191,9987,0,10
37,38191,9973,0,11
38,38187,9702,0,11
39,38184,9539,0,12
40,38184,9664,0,11
41,38180,9675,0,10
42,38181,9710,0,11
43,38179,9705,0,11
44,38177,9746,0,11
45,38177,9726,0,12
46,38178,9723,0,11
47,38178,9712,0,11
48,38180,9782,0,11
49,38177,9578,0,11
50,38175,9600,0,10
51,38177,9644,0,11
52,38175,9759,0,10
53,38175,9702,0,11
54,38177,9747,0,11
55,38177,9842,0,11
56,38177,9961,0,11
57,38178,9807,0,11
58,38178,9857,0,12
59,38180,9803,0,11
