,population,gdp_per_capita,competition,possible_places
0,26553,8536,0,8
1,26552,8630,0,8
2,26553,8637,0,8
3,26551,8704,0,8
4,26551,8672,0,8
5,26549,8534,0,8
6,26546,8518,0,7
7,26547,8636,0,8
8,26548,8737,0,7
9,26545,8715,0,8
10,26544,8852,0,8
11,26541,8734,0,8
12,26541,8848,0,7
13,26542,8896,0,8
14,26540,8870,0,8
15,26537,8891,0,9
16,26537,8849,0,8
17,26534,8880,0,8
18,26533,8808,0,8
19,26531,8824,0,8
20,26528,8749,0,8
21,26526,8679,0,8
22,26525,8663,0,8
23,26526,8709,0,8
24,26523,8782,0,8
25,26521,8824,0,8
26,26518,8887,0,8
27,26517,8934,0,8
28,26515,9002,0,8
29,26515,8786,0,8
30,26512,8755,0,8
31,26512,8780,0,8
32,26512,8766,0,8
33,26511,8894,0,8
34,26508,8787,0,7
35,26508,8616,0,8
36,26505,8494,0,8
37,26502,8464,0,8
38,26502,8448,0,8
39,26499,8408,0,7
40,26499,8293,0,8
41,26497,8205,0,7
42,26496,8240,0,8
43,26493,8416,0,8
44,26491,8353,0,9
45,26488,8330,0,7
46,26485,8346,0,8
47,26482,8363,0,8
48,26480,8354,0,8
49,26478,8395,0,8
50,26477,8380,0,8
51,26475,8350,0,8
52,26476,8377,0,8
53,26477,8324,0,8
54,26475,8242,0,8
55,26472,8059,0,8
56,26472,8053,0,8
57,26472,8188,0,8
58,26473,8095,0,8
59,26474,8086,0,8
