,population,gdp_per_capita,competition,possible_places
0,61079,11354,0,16
1,61082,11218,0,16
2,61084,11281,0,16
3,61080,11142,0,16
4,61082,11044,0,16
5,61078,11125,0,16
6,61079,11175,0,16
7,61076,11104,0,16
8,61077,11216,0,16
9,61075,11209,0,16
10,61077,11126,0,17
11,61082,11081,0,16
12,61087,11116,0,16
13,61082,11022,0,16
14,61087,10902,0,15
15,61086,10797,0,15
16,61084,10797,0,15
17,61088,10825,0,15
18,61082,10654,0,15
19,61080,10749,0,15
20,61084,10655,0,14
21,61083,10674,0,15
22,61087,10752,0,15
23,61080,10705,0,15
24,61076,10727,0,15
25,61077,10781,0,15
26,61070,10920,0,15
27,61065,10879,0,15
28,61063,11018,0,16
29,61068,11063,0,16
30,61065,10905,0,15
31,61058,11002,0,16
32,61057,11009,0,16
33,61053,10749,0,15
34,61046,10691,0,14
35,61044,10611,0,15
36,61037,10735,0,15
37,61033,10704,0,15
38,61032,10586,0,15
39,61035,10513,0,15
40,61032,10570,0,15
41,61026,10590,0,15
42,61021,10518,0,15
43,61018,10365,0,15
44,61013,10447,0,15
45,61012,10358,0,15
46,61017,10389,0,14
47,61013,10555,0,15
48,61010,10532,0,16
49,61006,10520,0,15
50,61007,10495,0,15
51,61002,10595,0,15
52,60995,10559,0,15
53,60995,10524,0,16
54,60992,10463,0,15
55,60986,10530,0,15
56,60991,10471,0,15
57,60989,10413,0,15
58,60988,10342,0,15
59,60993,10426,0,15
