,population,gdp_per_capita,competition,possible_places
0,571526,21574,0,86
1,571484,21559,0,86
2,571449,21547,0,86
3,571448,21509,0,86
4,571399,21666,0,86
5,571424,21605,0,86
6,571390,21518,0,86
7,571345,21534,0,86
8,571372,21447,0,86
9,571389,21309,0,85
10,571419,21336,0,85
11,571377,20745,0,84
12,571380,20648,0,84
13,571388,20994,0,85
14,571406,21008,0,85
15,571389,21024,0,85
16,571415,20745,0,84
17,571469,20754,0,84
18,571436,20932,0,85
19,571382,20922,0,85
20,571430,20593,0,84
21,571430,20753,0,83
22,571476,20758,0,84
23,571449,21116,0,85
24,571427,21041,0,84
25,571373,21188,0,85
26,571402,20989,0,84
27,571421,20892,0,85
28,571397,21176,0,85
29,571445,21329,0,86
30,571465,21667,0,88
31,571451,21161,0,85
32,571450,21169,0,85
33,571414,21077,0,84
34,571397,21056,0,86
35,571343,21188,0,85
36,571310,21000,0,85
37,571284,20686,0,84
38,571293,21004,0,85
39,571243,21106,0,85
40,571222,20741,0,84
41,571266,21167,0,85
42,571243,20825,0,84
43,571217,20689,0,84
44,571262,20582,0,84
45,571251,20518,0,84
46,571223,20410,0,83
47,571277,20476,0,84
48,571224,20633,0,84
49,571268,20571,0,84
50,571247,20494,0,84
51,571275,20411,0,83
52,571250,20433,0,84
53,571250,20305,0,84
54,571295,19971,0,83
55,571317,19977,0,81
56,571339,20186,0,83
57,571355,20529,0,84
58,571380,20620,0,84
59,571358,20630,0,84
