,population,gdp_per_capita,competition,possible_places
0,15219,8975,0,6
1,15217,8970,0,6
2,15216,8955,0,6
3,15215,9016,0,6
4,15215,8868,0,6
5,15215,8927,0,5
6,15215,9329,0,6
7,15213,9200,0,6
8,15213,9161,0,6
9,15212,9222,0,6
10,15212,9235,0,6
11,15210,9329,0,6
12,15208,9389,0,6
13,15207,9471,0,6
14,15205,9540,0,6
15,15204,9243,0,6
16,15202,9223,0,6
17,15201,9249,0,6
18,15200,9141,0,6
19,15198,9140,0,6
20,15197,9035,0,6
21,15196,9114,0,6
22,15194,8919,0,7
23,15194,8860,0,6
24,15192,8919,0,6
25,15191,8726,0,5
26,15191,8658,0,6
27,15190,8721,0,6
28,15188,8799,0,6
29,15187,8740,0,6
30,15187,8773,0,6
31,15187,8841,0,6
32,15187,8797,0,6
33,15187,8703,0,6
34,15185,8773,0,6
35,15185,8766,0,6
36,15183,8693,0,6
37,15181,8552,0,6
38,15180,8623,0,6
39,15180,8739,0,6
40,15180,8733,0,6
41,15178,8718,0,6
42,15177,8801,0,6
43,15177,8887,0,6
44,15176,8964,0,6
45,15175,9032,0,6
46,15174,9049,0,6
47,15174,9342,0,6
48,15173,9216,0,6
49,15171,9283,0,6
50,15170,9339,0,6
51,15168,9323,0,6
52,15168,9344,0,6
53,15168,9260,0,6
54,15166,9224,0,5
55,15164,9210,0,6
56,15162,9158,0,6
57,15160,9062,0,6
58,15159,9139,0,7
59,15158,9062,0,7
