,population,gdp_per_capita,competition,possible_places
0,60867,7615,0,14
1,60866,7420,0,12
2,60861,7328,0,12
3,60854,7439,0,12
4,60854,7459,0,11
5,60850,7467,0,12
6,60847,7371,0,12
7,60852,7296,0,12
8,60857,7255,0,12
9,60850,7254,0,12
10,60855,7463,0,13
11,60853,7464,0,13
12,60857,7364,0,12
13,60850,7320,0,13
14,60849,7309,0,11
15,60850,7375,0,12
16,60844,7391,0,12
17,60838,7388,0,12
18,60842,7428,0,12
19,60836,7455,0,12
20,60834,7495,0,12
21,60827,7556,0,12
22,60823,7582,0,12
23,60824,7498,0,12
24,60822,7407,0,12
25,60819,7436,0,12
26,60824,7469,0,12
27,60824,7427,0,12
28,60820,7558,0,12
29,60816,7557,0,12
30,60814,7671,0,13
31,60807,7654,0,13
32,60809,7546,0,11
33,60814,7578,0,12
34,60813,7508,0,12
35,60812,7574,0,12
36,60817,7498,0,13
37,60822,7373,0,12
38,60823,7206,0,12
39,60824,7046,0,12
40,60824,7128,0,11
41,60828,7078,0,12
42,60828,7068,0,12
43,60832,7079,0,12
44,60836,7010,0,12
45,60835,7051,0,12
46,60833,6975,0,12
47,60829,6883,0,12
48,60827,6874,0,12
49,60832,6887,0,12
50,60831,6890,0,13
51,60828,7022,0,12
52,60829,6958,0,12
53,60833,6797,0,12
54,60833,6780,0,12
55,60837,6812,0,12
56,60831,6955,0,13
57,60828,7123,0,12
58,60831,7080,0,12
59,60824,7108,0,12
