,population,gdp_per_capita,competition,possible_places
0,21811,11455,0,8
1,21808,11694,0,9
2,21806,11691,0,9
3,21806,11705,0,9
4,21803,11527,0,10
5,21800,11387,0,10
6,21797,11311,0,9
7,21796,11226,0,9
8,21795,11231,0,9
9,21796,11188,0,9
10,21794,10996,0,8
11,21791,10986,0,8
12,21791,10835,0,8
13,21790,10703,0,8
14,21789,10769,0,8
15,21787,10832,0,8
16,21788,10845,0,8
17,21786,10710,0,8
18,21783,10538,0,8
19,21783,10583,0,8
20,21782,10625,0,8
21,21779,10649,0,9
22,21780,10709,0,8
23,21777,10568,0,7
24,21778,10552,0,8
25,21778,10586,0,8
26,21778,10583,0,8
27,21779,10726,0,8
28,21777,10704,0,8
29,21776,10720,0,8
30,21777,10508,0,8
31,21776,10344,0,8
32,21775,10353,0,9
33,21773,10343,0,7
34,21773,10180,0,8
35,21770,10146,0,8
36,21770,9980,0,7
37,21768,10102,0,8
38,21768,10139,0,8
39,21766,10218,0,8
40,21765,10221,0,8
41,21765,10324,0,8
42,21764,10280,0,9
43,21765,10395,0,8
44,21762,10398,0,8
45,21762,10366,0,8
46,21760,10399,0,8
47,21759,10519,0,8
48,21760,10574,0,8
49,21761,10639,0,8
50,21760,10552,0,8
51,21761,10765,0,8
52,21762,10738,0,8
53,21759,10910,0,8
54,21758,10895,0,9
55,21756,10935,0,8
56,21757,11062,0,9
57,21757,11074,0,9
58,21756,11083,0,9
59,21755,11051,0,9
