,population,gdp_per_capita,competition,possible_places
0,10383,8777,0,4
1,10381,8763,0,5
2,10380,8932,0,5
3,10379,8869,0,5
4,10379,8857,0,5
5,10378,8809,0,5
6,10378,8844,0,4
7,10377,8846,0,5
8,10375,8986,0,5
9,10375,9149,0,5
10,10373,9239,0,5
11,10371,9075,0,5
12,10371,9151,0,5
13,10369,9166,0,5
14,10367,9188,0,5
15,10365,9131,0,5
16,10363,9334,0,5
17,10361,9300,0,5
18,10359,9343,0,5
19,10358,9356,0,5
20,10357,9280,0,5
21,10355,9468,0,5
22,10353,9435,0,5
23,10351,9277,0,6
24,10349,9242,0,5
25,10349,9153,0,5
26,10348,9166,0,5
27,10348,9144,0,5
28,10346,9059,0,4
29,10346,8868,0,4
30,10346,8981,0,6
31,10344,9035,0,5
32,10344,8965,0,5
33,10342,8995,0,6
34,10340,8959,0,5
35,10340,9086,0,5
36,10340,9149,0,5
37,10339,9170,0,5
38,10339,9078,0,5
39,10339,9156,0,5
40,10337,9157,0,5
41,10337,9102,0,5
42,10335,8990,0,5
43,10333,9136,0,4
44,10332,9244,0,5
45,10332,9297,0,5
46,10330,9508,0,5
47,10330,9518,0,5
48,10330,9464,0,5
49,10328,9565,0,5
50,10328,9549,0,5
51,10327,9494,0,5
52,10325,9555,0,5
53,10325,9596,0,5
54,10325,9677,0,5
55,10323,9509,0,5
56,10321,9585,0,5
57,10319,9639,0,5
58,10317,9519,0,5
59,10316,9504,0,5
