,population,gdp_per_capita,competition,possible_places
0,26510,11295,0,9
1,26508,11351,0,9
2,26507,11427,0,10
3,26504,11304,0,10
4,26503,11331,0,9
5,26501,11418,0,10
6,26501,11446,0,10
7,26502,11352,0,10
8,26500,11036,0,10
9,26497,10966,0,10
10,26497,10817,0,9
11,26498,10710,0,9
12,26497,10685,0,9
13,26495,10667,0,9
14,26492,10456,0,9
15,26492,10406,0,9
16,26489,10499,0,9
17,26489,10362,0,9
18,26488,10204,0,9
19,26486,10265,0,10
20,26485,10288,0,9
21,26482,10387,0,9
22,26482,10432,0,9
23,26480,10401,0,9
24,26480,10476,0,9
25,26480,10595,0,9
26,26477,10390,0,10
27,26476,10467,0,9
28,26473,10549,0,9
29,26474,10371,0,9
30,26474,10308,0,9
31,26474,10195,0,9
32,26471,10251,0,10
33,26472,10237,0,9
34,26471,10175,0,9
35,26468,10119,0,9
36,26469,9827,0,8
37,26469,9985,0,9
38,26467,9914,0,9
39,26467,9887,0,9
40,26468,10046,0,8
41,26468,9865,0,9
42,26465,9679,0,9
43,26465,9646,0,9
44,26462,9556,0,9
45,26462,9476,0,9
46,26463,9472,0,9
47,26462,9327,0,9
48,26460,9227,0,9
49,26457,9045,0,8
50,26455,9053,0,8
51,26452,9161,0,9
52,26450,8858,0,8
53,26448,8883,0,8
54,26445,9144,0,10
55,26446,9103,0,9
56,26444,9065,0,8
57,26443,9113,0,9
58,26442,9198,0,9
59,26440,9230,0,9
