,population,gdp_per_capita,competition,possible_places
0,10406,7615,0,4
1,10405,7535,0,4
2,10404,7631,0,4
3,10403,7624,0,4
4,10401,7619,0,4
5,10399,7600,0,4
6,10397,7602,0,3
7,10395,7478,0,4
8,10393,7504,0,4
9,10392,7666,0,4
10,10392,7595,0,4
11,10390,7634,0,5
12,10388,7550,0,4
13,10387,7624,0,4
14,10387,7732,0,4
15,10387,7664,0,4
16,10386,7708,0,4
17,10384,7694,0,4
18,10384,7678,0,4
19,10383,7707,0,4
20,10383,7652,0,4
21,10381,7629,0,4
22,10380,7623,0,4
23,10380,7614,0,4
24,10380,7622,0,4
25,10380,7710,0,4
26,10379,7767,0,5
27,10379,7813,0,4
28,10378,7897,0,5
29,10376,7809,0,4
30,10374,7792,0,4
31,10372,7755,0,4
32,10371,7630,0,4
33,10371,7684,0,4
34,10371,7652,0,4
35,10369,7475,0,4
36,10368,7436,0,4
37,10366,7325,0,4
38,10365,7280,0,5
39,10365,7271,0,4
40,10364,7282,0,4
41,10364,7247,0,3
42,10364,7272,0,4
43,10363,7305,0,5
44,10362,7370,0,3
45,10362,7321,0,4
46,10362,7412,0,4
47,10361,7488,0,4
48,10360,7526,0,4
49,10360,7508,0,5
50,10359,7373,0,4
51,10357,7289,0,4
52,10356,7299,0,4
53,10355,7323,0,4
54,10354,7318,0,4
55,10352,7195,0,5
56,10352,7111,0,5
57,10351,7069,0,4
58,10350,7063,0,4
59,10349,7030,0,4
