,population,gdp_per_capita,competition,possible_places
0,34188,10818,0,11
1,34189,10869,0,12
2,34185,10795,0,11
3,34187,10742,0,11
4,34187,10794,0,11
5,34183,10669,0,11
6,34182,10680,0,11
7,34182,10827,0,11
8,34184,10976,0,10
9,34184,10813,0,10
10,34184,10806,0,11
11,34184,10795,0,11
12,34180,10854,0,11
13,34182,11007,0,11
14,34179,11053,0,11
15,34175,11039,0,11
16,34177,11124,0,11
17,34174,11028,0,11
18,34171,11036,0,11
19,34171,11104,0,11
20,34173,11330,0,11
21,34172,11226,0,11
22,34172,11250,0,11
23,34173,11291,0,11
24,34172,11276,0,11
25,34168,11051,0,10
26,34166,11095,0,11
27,34165,11013,0,11
28,34163,10902,0,11
29,34160,10942,0,11
30,34156,10959,0,11
31,34156,11053,0,11
32,34152,11031,0,11
33,34149,11161,0,11
34,34148,11063,0,11
35,34150,11118,0,11
36,34151,11149,0,11
37,34150,11104,0,11
38,34148,11225,0,11
39,34147,10941,0,11
40,34149,10946,0,11
41,34150,10976,0,11
42,34146,10764,0,11
43,34142,10730,0,11
44,34141,10905,0,11
45,34139,10798,0,11
46,34137,10834,0,12
47,34137,10914,0,11
48,34139,10991,0,11
49,34138,10991,0,11
50,34139,10852,0,11
51,34140,10881,0,10
52,34142,10570,0,12
53,34144,10512,0,11
54,34140,10476,0,11
55,34138,10588,0,11
56,34135,10533,0,11
57,34135,10541,0,11
58,34136,10370,0,10
59,34138,10263,0,11
