,population,gdp_per_capita,competition,possible_places
0,11429,9263,0,5
1,11427,9333,0,5
2,11425,9314,0,6
3,11424,9419,0,5
4,11422,9536,0,5
5,11421,9564,0,5
6,11421,9541,0,6
7,11420,9526,0,5
8,11420,9420,0,5
9,11420,9332,0,5
10,11418,9276,0,5
11,11418,9172,0,5
12,11418,9131,0,5
13,11417,9078,0,5
14,11415,9093,0,5
15,11415,9104,0,5
16,11413,9262,0,5
17,11411,9300,0,5
18,11410,9342,0,5
19,11410,9427,0,6
20,11408,9479,0,5
21,11406,9325,0,5
22,11404,9362,0,5
23,11402,9280,0,6
24,11401,9277,0,5
25,11401,9254,0,5
26,11400,9308,0,5
27,11398,9352,0,5
28,11398,9472,0,4
29,11397,9329,0,5
30,11395,9199,0,5
31,11393,9282,0,6
32,11393,9170,0,5
33,11393,9110,0,5
34,11392,9218,0,6
35,11391,9477,0,5
36,11390,9570,0,5
37,11388,9529,0,5
38,11387,9309,0,5
39,11385,9526,0,5
40,11384,9508,0,4
41,11383,9540,0,5
42,11381,9579,0,5
43,11381,9568,0,5
44,11380,9551,0,5
45,11378,9650,0,4
46,11376,9652,0,6
47,11374,9773,0,5
48,11374,9924,0,5
49,11374,10005,0,5
50,11372,9970,0,4
51,11370,9824,0,6
52,11370,9899,0,4
53,11369,9889,0,5
54,11369,9919,0,5
55,11367,9907,0,5
56,11367,9970,0,5
57,11366,10031,0,6
58,11364,10127,0,6
59,11363,10012,0,5
