,population,gdp_per_capita,competition,possible_places
0,10928,4280,0,4
1,10928,4267,0,3
2,10928,4296,0,3
3,10926,4241,0,3
4,10926,4268,0,3
5,10924,4302,0,3
6,10922,4268,0,3
7,10922,4300,0,3
8,10922,4315,0,3
9,10922,4331,0,3
10,10920,4269,0,4
11,10918,4332,0,3
12,10917,4299,0,3
13,10915,4351,0,3
14,10913,4328,0,3
15,10911,4327,0,3
16,10909,4301,0,3
17,10908,4224,0,3
18,10908,4141,0,3
19,10907,4173,0,3
20,10906,4196,0,3
21,10904,4304,0,3
22,10904,4297,0,3
23,10903,4327,0,3
24,10901,4344,0,3
25,10901,4300,0,3
26,10901,4297,0,3
27,10900,4360,0,3
28,10898,4344,0,3
29,10898,4338,0,3
30,10898,4354,0,3
31,10896,4347,0,3
32,10895,4355,0,3
33,10895,4366,0,3
34,10894,4427,0,3
35,10893,4370,0,3
36,10891,4387,0,4
37,10890,4383,0,3
38,10890,4410,0,3
39,10890,4468,0,2
40,10889,4455,0,3
41,10887,4412,0,3
42,10885,4415,0,3
43,10885,4432,0,3
44,10884,4386,0,3
45,10883,4362,0,2
46,10883,4291,0,3
47,10882,4346,0,3
48,10882,4309,0,3
49,10882,4321,0,3
50,10881,4278,0,3
51,10880,4301,0,3
52,10880,4326,0,3
53,10879,4346,0,3
54,10878,4335,0,3
55,10877,4343,0,3
56,10875,4343,0,4
57,10874,4283,0,3
58,10874,4276,0,3
59,10874,4228,0,3
