,population,gdp_per_capita,competition,possible_places
0,10385,6831,0,4
1,10384,6769,0,4
2,10382,6792,0,4
3,10382,6733,0,4
4,10381,6791,0,4
5,10381,6732,0,4
6,10379,6727,0,4
7,10379,6651,0,4
8,10379,6667,0,4
9,10379,6719,0,4
10,10378,6767,0,5
11,10377,6631,0,4
12,10377,6651,0,4
13,10377,6540,0,5
14,10375,6547,0,3
15,10375,6598,0,4
16,10374,6554,0,4
17,10372,6651,0,4
18,10370,6753,0,4
19,10369,6777,0,4
20,10368,6859,0,4
21,10368,6874,0,4
22,10367,6756,0,4
23,10367,6844,0,4
24,10365,6864,0,4
25,10364,6942,0,4
26,10362,6940,0,4
27,10360,6964,0,4
28,10360,7017,0,4
29,10360,6990,0,4
30,10360,7102,0,4
31,10359,7111,0,5
32,10359,7029,0,3
33,10358,7000,0,5
34,10358,7032,0,4
35,10356,6987,0,4
36,10354,6909,0,4
37,10354,6872,0,4
38,10352,7032,0,4
39,10350,6958,0,4
40,10348,6958,0,5
41,10347,6950,0,5
42,10347,6915,0,4
43,10346,6851,0,4
44,10344,7051,0,4
45,10344,7022,0,4
46,10342,7058,0,3
47,10341,6969,0,4
48,10341,6984,0,4
49,10339,6990,0,4
50,10338,7023,0,4
51,10338,7063,0,3
52,10336,7058,0,4
53,10336,6982,0,4
54,10335,7076,0,5
55,10334,6989,0,4
56,10334,6943,0,4
57,10333,6907,0,4
58,10333,6901,0,3
59,10331,6847,0,4
