,population,gdp_per_capita,competition,possible_places
0,31656,8453,0,9
1,31658,8544,0,8
2,31656,8576,0,9
3,31655,8717,0,9
4,31651,8778,0,10
5,31648,8828,0,9
6,31649,8882,0,9
7,31651,8916,0,9
8,31647,9004,0,9
9,31644,8910,0,9
10,31646,8954,0,9
11,31645,9007,0,9
12,31647,8924,0,8
13,31643,8970,0,9
14,31640,9007,0,9
15,31641,9134,0,9
16,31641,9169,0,10
17,31641,9130,0,8
18,31640,9110,0,10
19,31637,9084,0,9
20,31637,8919,0,9
21,31634,8851,0,10
22,31633,8925,0,10
23,31631,8848,0,10
24,31633,8793,0,9
25,31631,8746,0,9
26,31627,8778,0,9
27,31628,8758,0,8
28,31629,8740,0,9
29,31625,8868,0,9
30,31627,8915,0,9
31,31626,8890,0,9
32,31625,8838,0,9
33,31621,8842,0,9
34,31622,8860,0,9
35,31623,9025,0,9
36,31621,9058,0,9
37,31621,9087,0,9
38,31621,9050,0,8
39,31618,9148,0,9
40,31616,9178,0,10
41,31615,9089,0,9
42,31615,9184,0,10
43,31616,9241,0,10
44,31612,9240,0,9
45,31613,9167,0,9
46,31614,9261,0,10
47,31610,9245,0,10
48,31611,9303,0,9
49,31607,9212,0,10
50,31607,9250,0,10
51,31609,9229,0,9
52,31609,9184,0,10
53,31606,9052,0,9
54,31605,9006,0,9
55,31607,8951,0,8
56,31609,8962,0,9
57,31610,8907,0,8
58,31609,8793,0,9
59,31606,8718,0,9
