month_ago,dist_to_the_nearest_factory,population,gdp_per_capita,competition
60,262.66,15908,4478,2
59,262.66,15907,4420,1
58,262.66,15905,4359,2
57,262.66,15905,4300,2
56,262.66,15905,4248,1
55,262.66,15903,4291,4
54,262.66,15902,4242,1
53,262.66,15901,4263,1
52,262.66,15901,4257,0
51,262.66,15901,4247,1
50,262.66,15899,4257,1
49,262.66,15898,4272,2
48,262.66,15896,4228,2
47,262.66,15895,4216,1
46,262.66,15895,4207,1
45,262.66,15895,4188,0
44,262.66,15893,4178,1
43,262.66,15892,4225,2
42,262.66,15891,4244,1
41,262.66,15889,4280,1
40,262.66,15889,4256,1
39,262.66,15888,4299,1
38,262.66,15888,4307,1
37,262.66,15887,4307,0
36,262.66,15886,4277,0
35,262.66,15884,4251,1
34,262.66,15882,4240,1
33,262.66,15880,4244,0
32,262.66,15880,4172,0
31,262.66,15879,4162,8
30,262.66,15877,4234,8
29,262.66,15876,4215,8
28,262.66,15876,4241,10
27,262.66,15875,4239,10
26,262.66,15874,4244,14
25,262.66,15872,4212,15
24,262.66,15871,4204,20
23,262.66,15871,4270,24
22,262.66,15871,4334,26
21,262.66,15871,4338,22
20,262.66,15871,4358,20
19,262.66,15870,4326,23
18,262.66,15868,4255,23
17,262.66,15867,4201,5
16,262.66,15867,4180,3
15,262.66,15866,4217,3
14,262.66,15865,4276,4
13,262.66,15865,4373,5
12,262.66,15865,4392,9
11,262.66,15863,4338,10
10,262.66,15861,4258,10
9,262.66,15859,4204,6
8,262.66,15859,4205,5
7,262.66,15859,4210,6
6,262.66,15858,4210,5
5,262.66,15857,4155,3
4,262.66,15856,4146,3
3,262.66,15856,4130,3
2,262.66,15854,4076,4
1,262.66,15852,4048,4
