month_ago,dist_to_the_nearest_factory,population,gdp_per_capita,competition
60,3744.48,4925538,43113,9
59,3744.48,4925597,44002,8
58,3744.48,4925971,43246,8
57,3744.48,4926434,43139,9
56,3744.48,4926367,43133,5
55,3744.48,4926285,43294,4
54,3744.48,4926226,42272,4
53,3744.48,4926701,41679,5
52,3744.48,4926312,41388,5
51,3744.48,4926619,41392,4
50,3744.48,4927108,41774,4
49,3744.48,4926896,40873,2
48,3744.48,4926775,40731,3
47,3744.48,4927029,41447,3
46,3744.48,4927250,41348,2
45,3744.48,4927360,40755,2
44,3744.48,4927228,40392,2
43,3744.48,4927440,40762,2
42,3744.48,4927902,41317,1
41,3744.48,4928339,40780,0
40,3744.48,4928562,40518,2
39,3744.48,4928337,40607,2
38,3744.48,4928008,40636,2
37,3744.48,4928229,40591,2
36,3744.48,4928193,40503,2
35,3744.48,4928333,40762,3
34,3744.48,4928037,40798,2
33,3744.48,4927890,41312,5
32,3744.48,4928046,41535,6
31,3744.48,4928162,41114,5
30,3744.48,4928178,41945,4
29,3744.48,4927760,41931,6
28,3744.48,4927822,41157,6
27,3744.48,4928223,41487,6
26,3744.48,4927773,41272,6
25,3744.48,4928186,40861,7
24,3744.48,4928231,40956,9
23,3744.48,4928124,40558,9
22,3744.48,4927810,41305,6
21,3744.48,4927922,40940,5
20,3744.48,4928168,41270,5
19,3744.48,4928436,41158,5
18,3744.48,4928133,41231,7
17,3744.48,4927733,41038,8
16,3744.48,4927320,40395,10
15,3744.48,4927149,39858,12
14,3744.48,4927449,40199,12
13,3744.48,4926961,40953,12
12,3744.48,4926744,40161,13
11,3744.48,4926379,40066,13
10,3744.48,4926269,39917,11
9,3744.48,4926475,40195,11
8,3744.48,4926751,40025,11
7,3744.48,4926298,39296,10
6,3744.48,4925966,38647,11
5,3744.48,4926316,38217,12
4,3744.48,4926350,38495,9
3,3744.48,4926361,38577,14
2,3744.48,4926462,38006,15
1,3744.48,4926627,38110,14
