month_ago,dist_to_the_nearest_factory,population,gdp_per_capita,competition
60,975.58,998236,20074,7
59,975.58,998155,19718,7
58,975.58,998219,19955,7
57,975.58,998194,19670,7
56,975.58,998266,19806,7
55,975.58,998270,19484,6
54,975.58,998292,19537,8
53,975.58,998344,19323,6
52,975.58,998328,19222,7
51,975.58,998352,19317,8
50,975.58,998440,19059,8
49,975.58,998474,19575,8
48,975.58,998547,19523,6
47,975.58,998500,19591,7
46,975.58,998436,19778,8
45,975.58,998372,19474,9
44,975.58,998308,19741,6
43,975.58,998267,19518,10
42,975.58,998362,19567,9
41,975.58,998422,19500,11
40,975.58,998479,19521,11
39,975.58,998538,19843,9
38,975.58,998561,19905,6
37,975.58,998540,19864,7
36,975.58,998444,20096,7
35,975.58,998477,20244,7
34,975.58,998562,19950,6
33,975.58,998625,20077,6
32,975.58,998595,20000,6
31,975.58,998588,19949,6
30,975.58,998517,20003,5
29,975.58,998455,20424,5
28,975.58,998444,20141,5
27,975.58,998506,20139,6
26,975.58,998420,20234,6
25,975.58,998337,20202,6
24,975.58,998342,20143,6
23,975.58,998440,20161,5
22,975.58,998532,20041,5
21,975.58,998445,20381,1
20,975.58,998363,20677,1
19,975.58,998331,20595,2
18,975.58,998252,20430,2
17,975.58,998288,20504,1
16,975.58,998188,20510,1
15,975.58,998170,20583,2
14,975.58,998263,20397,2
13,975.58,998355,20433,2
12,975.58,998327,20472,1
11,975.58,998343,20305,4
10,975.58,998401,19907,4
9,975.58,998335,19737,7
8,975.58,998258,19875,7
7,975.58,998189,19906,6
6,975.58,998198,19998,6
5,975.58,998120,19720,8
4,975.58,998054,19732,5
3,975.58,998149,20008,4
2,975.58,998126,20322,4
1,975.58,998056,20161,4
