month_ago,dist_to_the_nearest_factory,population,gdp_per_capita,competition
60,4015.27,26078,11537,2
59,4015.27,26077,11475,2
58,4015.27,26076,11401,4
57,4015.27,26077,11426,7
56,4015.27,26075,11411,7
55,4015.27,26073,11346,8
54,4015.27,26071,11224,7
53,4015.27,26068,11151,6
52,4015.27,26066,11107,7
51,4015.27,26067,10892,5
50,4015.27,26065,10977,3
49,4015.27,26062,10833,3
48,4015.27,26060,10738,3
47,4015.27,26058,10833,5
46,4015.27,26059,10684,5
45,4015.27,26056,10753,4
44,4015.27,26054,10706,6
43,4015.27,26055,10829,7
42,4015.27,26055,10830,6
41,4015.27,26054,10723,2
40,4015.27,26055,10847,2
39,4015.27,26056,10782,3
38,4015.27,26054,11012,3
37,4015.27,26051,11028,2
36,4015.27,26048,11188,3
35,4015.27,26048,11127,3
34,4015.27,26045,11194,3
33,4015.27,26043,11206,3
32,4015.27,26044,11264,5
31,4015.27,26045,11392,3
30,4015.27,26046,11510,2
29,4015.27,26043,11310,2
28,4015.27,26044,11196,2
27,4015.27,26044,11265,1
26,4015.27,26043,11184,1
25,4015.27,26042,11219,1
24,4015.27,26042,11255,2
23,4015.27,26042,11279,2
22,4015.27,26041,11305,0
21,4015.27,26040,11429,1
20,4015.27,26041,11361,2
19,4015.27,26038,11489,2
18,4015.27,26035,11469,2
17,4015.27,26036,11363,2
16,4015.27,26035,11287,3
15,4015.27,26035,11237,3
14,4015.27,26036,11294,1
13,4015.27,26037,11390,1
12,4015.27,26037,11194,1
11,4015.27,26037,11079,1
10,4015.27,26038,11176,1
9,4015.27,26039,11220,0
8,4015.27,26040,11322,0
7,4015.27,26040,11527,0
6,4015.27,26040,11537,1
5,4015.27,26041,11472,1
4,4015.27,26039,11570,1
3,4015.27,26036,11525,1
2,4015.27,26035,11681,0
1,4015.27,26036,11704,0
