month_ago,dist_to_the_nearest_factory,population,gdp_per_capita,competition
60,1426.51,572080,20957,1
59,1426.51,572109,21271,0
58,1426.51,572111,21327,0
57,1426.51,572143,21044,1
56,1426.51,572164,21067,2
55,1426.51,572143,20949,0
54,1426.51,572100,21162,0
53,1426.51,572110,21200,2
52,1426.51,572067,21052,3
51,1426.51,572082,20714,3
50,1426.51,572070,20708,3
49,1426.51,572085,20998,3
48,1426.51,572049,21212,2
47,1426.51,572027,21527,2
46,1426.51,571972,21577,1
45,1426.51,572025,21873,1
44,1426.51,572037,21646,3
43,1426.51,572053,21813,3
42,1426.51,572076,21747,3
41,1426.51,572047,21733,3
40,1426.51,572034,21735,2
39,1426.51,572090,22015,5
38,1426.51,572095,21857,3
37,1426.51,572064,21580,6
36,1426.51,572060,21603,5
35,1426.51,572114,21659,4
34,1426.51,572115,21752,5
33,1426.51,572161,21676,5
32,1426.51,572124,21606,5
31,1426.51,572077,21394,6
30,1426.51,572123,21386,7
29,1426.51,572165,21866,7
28,1426.51,572122,22176,7
27,1426.51,572081,22461,6
26,1426.51,572029,22571,5
25,1426.51,572047,22565,6
24,1426.51,572013,22485,5
23,1426.51,572030,21998,5
22,1426.51,572017,21718,6
21,1426.51,571995,21880,7
20,1426.51,571984,22084,8
19,1426.51,571929,22013,5
18,1426.51,571889,22205,6
17,1426.51,571905,22174,6
16,1426.51,571914,22209,7
15,1426.51,571945,22197,6
14,1426.51,571955,22087,6
13,1426.51,571924,22124,5
12,1426.51,571951,21899,5
11,1426.51,571955,21953,6
10,1426.51,571918,21971,6
9,1426.51,571871,21949,4
8,1426.51,571865,21880,3
7,1426.51,571835,22051,4
6,1426.51,571805,21878,7
5,1426.51,571779,21891,6
4,1426.51,571813,21883,5
3,1426.51,571844,21938,4
2,1426.51,571869,21640,1
1,1426.51,571893,21274,1
