month_ago,dist_to_the_nearest_factory,population,gdp_per_capita,competition
60,1022.13,10085,7510,5
59,1022.13,10085,7579,8
58,1022.13,10083,7518,9
57,1022.13,10083,7510,5
56,1022.13,10083,7584,4
55,1022.13,10081,7580,3
54,1022.13,10080,7367,3
53,1022.13,10079,7353,2
52,1022.13,10079,7237,2
51,1022.13,10077,7244,2
50,1022.13,10077,7340,2
49,1022.13,10077,7247,1
48,1022.13,10077,7355,1
47,1022.13,10075,7320,1
46,1022.13,10074,7361,1
45,1022.13,10072,7398,1
44,1022.13,10072,7457,1
43,1022.13,10071,7446,1
42,1022.13,10071,7321,2
41,1022.13,10071,7309,2
40,1022.13,10070,7317,2
39,1022.13,10069,7309,2
38,1022.13,10069,7374,2
37,1022.13,10068,7352,7
36,1022.13,10068,7313,7
35,1022.13,10067,7330,7
34,1022.13,10065,7328,6
33,1022.13,10063,7465,5
32,1022.13,10062,7511,4
31,1022.13,10061,7456,3
30,1022.13,10060,7310,3
29,1022.13,10060,7269,3
28,1022.13,10058,7241,2
27,1022.13,10057,7236,2
26,1022.13,10055,7159,3
25,1022.13,10055,7054,1
24,1022.13,10053,7044,1
23,1022.13,10051,6979,0
22,1022.13,10050,6974,1
21,1022.13,10049,7002,1
20,1022.13,10048,6891,1
19,1022.13,10048,6860,1
18,1022.13,10047,6899,1
17,1022.13,10046,6815,1
16,1022.13,10046,6760,0
15,1022.13,10046,6813,1
14,1022.13,10045,6791,0
13,1022.13,10045,6775,1
12,1022.13,10045,6796,1
11,1022.13,10045,6729,0
10,1022.13,10043,6688,1
9,1022.13,10042,6690,1
8,1022.13,10042,6540,1
7,1022.13,10040,6455,1
6,1022.13,10040,6509,1
5,1022.13,10039,6601,0
4,1022.13,10038,6624,0
3,1022.13,10036,6612,1
2,1022.13,10036,6594,1
1,1022.13,10034,6547,1
