month_ago,dist_to_the_nearest_factory,population,gdp_per_capita,competition
60,171.32,533728,14619,4
59,171.32,533683,14572,4
58,171.32,533693,14703,4
57,171.32,533737,14469,4
56,171.32,533754,14188,2
55,171.32,533722,14242,1
54,171.32,533716,14107,1
53,171.32,533662,13834,1
52,171.32,533661,13846,1
51,171.32,533615,13660,1
50,171.32,533623,13490,0
49,171.32,533635,13238,1
48,171.32,533606,13261,3
47,171.32,533591,13320,2
46,171.32,533634,13478,2
45,171.32,533619,13503,2
44,171.32,533587,13441,3
43,171.32,533536,13510,1
42,171.32,533584,13475,1
41,171.32,533579,13469,4
40,171.32,533539,13641,3
39,171.32,533497,13745,4
38,171.32,533472,13505,0
37,171.32,533513,13422,0
36,171.32,533483,13413,0
35,171.32,533534,13451,1
34,171.32,533556,13347,3
33,171.32,533549,13298,5
32,171.32,533499,13165,7
31,171.32,533467,13297,7
30,171.32,533464,13379,4
29,171.32,533484,13653,4
28,171.32,533496,13571,3
27,171.32,533483,13553,2
26,171.32,533504,13650,0
25,171.32,533544,13238,3
24,171.32,533536,13035,5
23,171.32,533548,13133,5
22,171.32,533573,13112,8
21,171.32,533616,12974,9
20,171.32,533667,12746,12
19,171.32,533645,12701,17
18,171.32,533642,12564,17
17,171.32,533653,12773,18
16,171.32,533695,12818,26
15,171.32,533730,12828,25
14,171.32,533778,12787,24
13,171.32,533743,12844,28
12,171.32,533727,12785,20
11,171.32,533748,12787,13
10,171.32,533707,12656,15
9,171.32,533663,12818,11
8,171.32,533661,12585,11
7,171.32,533675,12521,11
6,171.32,533679,12445,6
5,171.32,533639,12596,7
4,171.32,533587,12576,7
3,171.32,533632,12889,6
2,171.32,533647,12907,7
1,171.32,533675,12850,8
