month_ago,dist_to_the_nearest_factory,population,gdp_per_capita,competition
60,2030.46,19356,10922,6
59,2030.46,19355,10908,6
58,2030.46,19353,10987,6
57,2030.46,19351,10990,7
56,2030.46,19349,11045,7
55,2030.46,19347,11145,6
54,2030.46,19346,11253,4
53,2030.46,19344,11181,5
52,2030.46,19343,11298,5
51,2030.46,19342,11464,6
50,2030.46,19340,11657,8
49,2030.46,19339,11473,8
48,2030.46,19337,11425,8
47,2030.46,19337,11402,7
46,2030.46,19335,11429,11
45,2030.46,19335,11382,11
44,2030.46,19334,11284,11
43,2030.46,19334,11218,20
42,2030.46,19333,11197,19
41,2030.46,19331,11349,23
40,2030.46,19330,11357,15
39,2030.46,19328,11498,17
38,2030.46,19326,11457,19
37,2030.46,19325,11576,17
36,2030.46,19325,11504,28
35,2030.46,19325,11456,30
34,2030.46,19324,11460,31
33,2030.46,19322,11386,32
32,2030.46,19320,11384,31
31,2030.46,19319,11301,39
30,2030.46,19318,11214,40
29,2030.46,19316,11159,41
28,2030.46,19316,10966,34
27,2030.46,19314,10737,33
26,2030.46,19312,10793,47
25,2030.46,19310,10591,47
24,2030.46,19309,10636,55
23,2030.46,19309,10671,56
22,2030.46,19309,10859,56
21,2030.46,19308,10848,59
20,2030.46,19307,10849,42
19,2030.46,19307,10943,65
18,2030.46,19305,11043,64
17,2030.46,19303,11105,59
16,2030.46,19301,11027,55
15,2030.46,19299,11202,56
14,2030.46,19299,11239,62
13,2030.46,19298,11220,59
12,2030.46,19296,11256,59
11,2030.46,19296,11292,66
10,2030.46,19296,11309,51
9,2030.46,19295,11334,52
8,2030.46,19293,11313,52
7,2030.46,19293,11342,55
6,2030.46,19291,11316,60
5,2030.46,19290,11099,57
4,2030.46,19290,11045,54
3,2030.46,19290,11149,46
2,2030.46,19289,11207,53
1,2030.46,19288,11246,48
